고객명,매출년도,사용량,사용열량
(주)동화인더스트리,2023,261798.0285,11201987.2779
(주)동화인더스트리,2024,114497.8569,4885622.9092999995
(주)동화인더스트리,2025,107984.861,4607064.5421
(주)두연산업,2020,46341.0,1974654.187
(주)두연산업,2021,60085.0,2560100.573
(주)두연산업,2022,51981.0,2228760.8710000003
(주)두연산업,2023,56407.0,2411898.554
(주)두연산업,2024,42433.0,1811064.585
(주)두연산업,2025,35349.0,1508942.7370000002
(주)디에이치씨,2020,7642.0404,325694.10850000003
(주)디에이치씨,2021,7965.2222,339593.3012
(주)디에이치씨,2022,8478.9408,364284.74379999994
(주)디에이치씨,2023,6374.1381,273886.2583
(주)디에이치씨,2024,0.0,0.0
(주)디엠텍스타일,2022,476415.0,20398128.551
(주)디엠텍스타일,2023,1728994.0,73952937.66600001
(주)디엠텍스타일,2024,1666595.0,71119624.125
(주)디엠텍스타일,2025,1617841.0,69003228.162
(주)떡파는사람들,2020,322412.0,13737613.147
(주)떡파는사람들,2021,361420.0,15397418.621000001
(주)떡파는사람들,2022,355518.0,15242244.203000002
(주)떡파는사람들,2023,352910.0,15093964.574000001
(주)떡파는사람들,2024,336625.0,14366377.464
(주)떡파는사람들,2025,332006.0,14170508.848
(주)매일신문사,2020,73129.0,3115686.392
(주)매일신문사,2021,74889.0,3190278.052
(주)매일신문사,2022,53625.0,2302342.196
(주)매일신문사,2023,35709.0,1527534.001
(주)매일신문사,2024,30299.0,1292320.419
(주)매일신문사,2025,35477.0,1514639.082
(주)메가젠임플란트,2020,4133.8108,176124.6417
(주)메가젠임플란트,2021,6110.0498,260267.27790000002
(주)메가젠임플란트,2022,6130.4466,262855.2268
(주)메가젠임플란트,2023,5965.9926,255087.3977
(주)메가젠임플란트,2024,6803.560799999999,290359.6955
(주)메가젠임플란트,2025,6682.7427,285016.4086
(주)명성,2020,46779.6312,1993358.728
(주)명성,2021,53271.873999999996,2269455.1299
(주)명성,2022,35869.1827,1539376.9583
(주)명신염색가공,2020,334387.0,14246206.384
(주)명신염색가공,2021,343958.0,14653358.957
(주)명신염색가공,2022,338727.0,14522513.605
(주)명신염색가공,2023,152759.0,6526906.9
(주)명신염색가공,2024,100996.0,4310348.5770000005
(주)명신염색가공,2025,0.0,0.0
(주)명아스틸,2020,80467.734,3428907.5785
(주)명아스틸,2021,84857.193,3615650.8297
(주)명아스틸,2022,90792.9082,3892313.8338
(주)명아스틸,2023,105803.1992,4523958.058
(주)명아스틸,2024,91457.7491,3902803.0933000003
(주)명아스틸,2025,91389.86069999999,3898062.5843
(주)명진섬유,2020,116236.2296,4952551.7785
(주)명진섬유,2021,142048.6686,6048756.9120000005
(주)명진섬유,2022,126092.6365,5405220.643
(주)명진섬유,2023,115649.93109999999,4945044.2828
(주)명진섬유,2024,277344.7094,11836772.0567
(주)명진섬유,2025,290920.3046,12407990.0359
(주)명화산업,2020,325250.0,13858133.002
(주)명화산업,2021,311448.0,13268777.402999999
(주)명화산업,2022,293180.0,12568467.029
(주)명화산업,2023,418420.0,17883448.553999998
(주)명화산업,2024,501544.0,21382631.932
(주)명화산업,2025,537863.0,22959305.809
(주)모간,2020,300203.67960000003,12793651.2757
(주)모간,2021,282192.4498,12024714.330200002
(주)모간,2022,270315.2561,11589748.3659
(주)모간,2023,239788.3709,10254718.2084
(주)모간,2024,259831.0138,11087094.0423
(주)모간,2025,254379.27879999997,10853222.3344
(주)무길염공,2020,468412.282,19957630.5202
(주)무길염공,2021,493272.8084,21011976.6545
(주)무길염공,2022,551002.6321,23623418.8073
(주)무길염공,2023,598613.1632000001,25590055.1054
(주)무길염공,2024,727410.9187,31039596.2055
(주)무길염공,2025,723230.7717,30848215.705
(주)문명에이스,2020,44093.5724,1878611.1295
(주)문명에이스,2021,35713.456,1521715.9923
(주)문명에이스,2022,42034.3041,1802736.8217
(주)문명에이스,2023,42144.4635,1805132.4169
(주)문명에이스,2024,32869.8429,1402946.5698
(주)문명에이스,2025,22024.4684,940275.9999
(주)미앤부티,2020,183260.0,7808464.434
(주)미앤부티,2021,135647.0,5778542.421
(주)미앤부티,2022,128249.0,5498814.263
(주)미앤부티,2023,128716.0,5499218.981000001
(주)미앤부티,2024,130603.0,5573069.352
(주)미앤부티,2025,121300.0,5172351.098999999
(주)바른들식품,2020,380772.0,16223009.46
(주)바른들식품,2021,296562.0,12637424.271
(주)바른들식품,2022,227314.0,9744317.195
(주)바른들식품,2023,159987.0,6844542.922
(주)바른들식품,2024,155209.0,6622786.936
(주)바른들식품,2025,146471.0,6252375.818
(주)번영에프씨,2020,208242.0,8873275.352
(주)번영에프씨,2021,223823.0,9534267.919
(주)번영에프씨,2022,205282.0,8800520.587000001
(주)번영에프씨,2023,200682.0,8577787.436999999
(주)번영에프씨,2024,197220.0,8416554.843
(주)번영에프씨,2025,194098.0,8277424.447000001
(주)벽진피앤티(P&T),2020,1085095.0,46232257.360999994
(주)벽진피앤티(P&T),2021,1005118.0,42818674.067999996
(주)벽진피앤티(P&T),2022,908735.0,38964664.366000004
(주)벽진피앤티(P&T),2023,520968.0,22284302.852
(주)벽진피앤티(P&T),2024,383124.0,16351239.639
(주)벽진피앤티(P&T),2025,507873.0,21652405.502
(주)보경텍스타일,2020,189313.0,8065746.825999999
(주)보경텍스타일,2021,202103.0,8609129.979
(주)보경텍스타일,2022,214207.0,9184545.515
(주)보경텍스타일,2023,175841.0,7516731.927
(주)보경텍스타일,2024,216909.0,9256847.692
(주)보경텍스타일,2025,218323.0,9316329.838
(주)보광산업,2020,776684.0,33097255.898000002
(주)보광산업,2021,983935.0,41904659.15
(주)보광산업,2022,915348.0,39225191.347
(주)보광산업,2023,913149.0,39003150.008
(주)보광산업,2024,1093848.0,46677180.845
(주)보광산업,2025,944724.0,40257257.737
(주)보우,2020,53924.0,2297529.26
(주)보우,2021,48949.0,2085287.2410000002
(주)보우,2022,62226.0,2668092.426
(주)보우,2023,49478.0,2118876.796
(주)보우,2024,28557.0,1219003.043
(주)보우,2025,28267.0,1206753.17
(주)부광에프디,2020,437504.9264,18643286.9392
(주)부광에프디,2021,383714.5062,16341679.404
(주)부광에프디,2022,420997.8534,18051818.4873
(주)부광에프디,2023,432174.9073,18486145.009099998
(주)부광에프디,2024,358078.1407,15287058.244800001
(주)부광에프디,2025,301997.4863,12887712.1402
(주)부성,2020,564802.0,24064329.005999997
(주)부성,2021,571641.0,24354754.711999997
(주)부성,2022,455291.0,19523688.513
(주)부성,2023,456462.0,19511767.001000002
(주)부성,2024,506809.0,21626463.342
(주)부성,2025,508728.0,21700117.388
(주)비락,2020,2060376.0,87782272.368
(주)비락,2021,1798987.0,76639767.83500001
(주)비락,2022,1714914.0,73541775.462
(주)비락,2023,1711638.0,73217843.336
(주)비락,2024,1643634.0,70142873.281
(주)비락,2025,1628714.0,69518454.755
(주)비에스지,2020,483224.0,20589452.359
(주)비에스지,2021,512465.0,21828394.813
(주)비에스지,2022,509274.0,21837058.115000002
(주)비에스지,2023,412908.0,17658820.770999998
(주)비에스지,2024,374148.0,15969512.775
(주)비에스지,2025,354512.0,15118029.974
(주)삼보,2020,606240.4684,25829852.088800002
(주)삼보,2021,597910.1256,25470822.7519
(주)삼보,2022,497962.2976,21352900.412
(주)삼보,2023,380732.8206,16289122.298099998
(주)삼보,2024,302949.58389999997,12931010.839
(주)삼보,2025,278663.358,11891260.305699999
(주)삼성피앤씨,2023,70282.0,3004576.5259999996
(주)삼성피앤씨,2024,99215.19750000001,4233222.5913
(주)삼성피앤씨,2025,203213.4233,8671525.0087
(주)삼우정밀,2020,4923.2852,209774.6848
(주)삼우정밀,2021,5081.4312,216575.9579
(주)삼우정밀,2022,5477.8131,235247.6572
(주)삼우정밀,2023,5349.2172,229278.9026
(주)삼우정밀,2024,5515.5215,235619.3313
(주)삼우정밀,2025,5558.6426,237956.81300000002
(주)삼원 경산공장,2020,622464.746,26529457.133500002
(주)삼원 경산공장,2021,563131.2703999999,23999132.2619
(주)삼원 경산공장,2022,473553.51249999995,20309899.0814
(주)삼원 경산공장,2023,516955.6866,22106292.702400003
(주)삼원 경산공장,2024,468277.593,19988598.8044
(주)삼원 경산공장,2025,354700.24569999997,15139894.9476
(주)삼코,2020,5051.0984,215204.033
(주)삼코,2021,6360.625999999999,271137.2041
(주)삼코,2022,5331.767,229164.73940000002
(주)삼코,2023,4806.1905,206175.84799999997
(주)삼코,2024,4854.9623,207497.5125
